status_id,created_at,screen_name,lang,location,text,retweet_count,reply_to_screen_name
1309535775109926912,2020-09-25T16:50:33Z,ghulamabbasshah,en,"Lahore, Pakistan",Secularism of #Gandhi and #Nehru in #India has been replaced by #RSS #Hindutva . #Muslims falsely blame &amp; victimized for spreading #covid  #RSS is an organisation that promotes #Islamophobia India is the only country that witnessed state sponsored Islamophobia. says #ImranKhan https://t.co/HZZEgvBzyW,1203,NA
1309626010221129729,2020-09-25T22:49:07Z,GeoRebekah,en,"Florida, USA","On the day @GovRonDeSantis rejects the experts and all reason by forcing Florida into Phase III, a 12 year old girl from Atlantic Beach lost her battle with #COVID and died. She was in the sixth grade. Just started school back to at Mayport in Duval. #ThisIsThePrice",1146,NA
1309578234007257088,2020-09-25T19:39:16Z,AlexBerenson,en,New York,"Updated @cgcgov figures: 66 children under 15 have died from/with #Covid since February.

16,761 have died of other causes.

Fewer than 1 in 250 child deaths are related to #Covid in any way. https://t.co/lGT3osyDOg",988,NA
1309557875296083969,2020-09-25T18:18:22Z,AlexBerenson,en,New York,"No mo ro in Flo: @govrondesantis proves again he gets the science and is the best big-state governor on #Covid by not just lifting all restrictions but stopping cities and counties from enforcing their own nonsense.

Say it with me: WAAAAIT TWO WEEKS! https://t.co/E4BMxtdIT8",953,NA
1309643186827132929,2020-09-25T23:57:22Z,B52Malmet,en,"New York, NY","Dr. Fauci warns the worst public health crisis in our lifetime is not what we are going through now, but what is coming in the fall and winter. Keep your laser focus on staying safe, masking up,  preparing for #covid winter. Stay strong. Stay well. Only 1st🦵of a marathon.",946,NA
1309771908242530304,2020-09-26T08:28:51Z,iingwen,en,Taipei City,It’s great to have a genuine friend like #Nauru! Thank you President Aingimea for speaking up for #Taiwan’s rights at #UN75 &amp; telling the world about what we have to offer when it comes to responding to global issues like #COVID. https://t.co/lLb90TiCKH,436,NA
1309536213964075012,2020-09-25T16:52:18Z,AlexBerenson,en,New York,"So @angie_rasmussen is a Columbia University virologist with 165,000 followers. After blocking me, she has accused me of telling “lies” about #Covid on national television.

Lie is a red-flag libel word.

Produce evidence I’ve lied - you have none - or withdraw the allegation. https://t.co/pB7tIdwXAd",389,NA
1309769680769265664,2020-09-26T08:20:00Z,iingwen,en,Taipei City,We are grateful to #Haiti president @moisejovenel for supporting #Taiwan’s right to international participation at #UN75. We are proud to be your partner in your fight against #COVID &amp; hope to be able to help more countries around the world respond to the pandemic. https://t.co/YwuuUr2iin,323,NA
1309531562816483335,2020-09-25T16:33:49Z,biobiobiobior,fr,,"🔴 Marseille, 25 Septembre: « Marseille est entrée en résistance - On se battra avec toutes les armes possibles et imaginables (France Soir) #VeranDemission #Raoult #Marseille #Covid #CORONAVIRUSFRANCE https://t.co/C5WWMNSUmz",299,NA
1309784595378966529,2020-09-26T09:19:16Z,guillonnicola,fr,Un peu partout,#COVID__19 Témoignage de première main d’un chef de service à la Pitié-Salpêtrière qui ne va pas sur les plateaux TV : « La #covid on sait désormais l’enrayer. Les cas graves sont hospitalisés moins longtemps et sans aide respiratoire intense. » @olivierveran,189,NA
