screen_name,location,lat,long
ghulamabbasshah,"Lahore, Pakistan",31.5656822,74.3141829
GeoRebekah,"Florida, USA",27.7567667,-81.4639835
AlexBerenson,New York,40.7127281,-74.0060152
B52Malmet,"New York, NY",40.7127281,-74.0060152
iingwen,Taipei City,25.0375198,121.5636796
guillonnicola,Un peu partout,NA,NA
davidmweissman,"Palm Bay, FL",28.0330075,-80.6433552
GwenGraham,"Florida, USA",27.7567667,-81.4639835
NST_Online,Malaysia,4.5693754,102.2656823
Aaron_Derfel,Montreal,45.4972159,-73.6103642
Rajj8990,"Chennai, India",13.0801721,80.2838331
jesusDellgado,"Maracaibo, Venezuela",10.6499149,-71.6396282
Alerta140,Buenos Aires,-34.6075682,-58.4370894
RebeccaCokley,"Washington, DC",38.8949855,-77.0365708
momotchiii,France,46.603354,1.8883335
M_T_Franz,Wien ,48.2083537,16.3725042
StefSimanowitz,stefan simanowitz amnesty org,NA,NA
viquirepublica,Catalunya,41.8523094,1.5745043
ivssoficial,Venezuela,8.0018709,-66.1109318
soyVoxita,"Madrid, Comunidad de Madrid",40.4167047,-3.7035825
CllrBSilvester,"North West, England",50.7711984,6.1824957
jesusmarana,Madrid,40.4167047,-3.7035825
electroboyusa,Los Angeles,34.0536909,-118.2427666
DonnaDeegan,"Atlantic Beach, Florida",30.3344077,-81.398696
aciapparoni,italia,42.6384261,12.674297
Women4Biden,The White House,38.8976998,-77.03655348862276
DrDMiles,"St Andrews, Scotland",56.3403902,-2.7955844
MatthewGreenNDP,"Hamilton, Ontario",43.2560802,-79.8728583
GrahamGGrant,Glasgow,55.8609825,-4.2488787
nursingdean,"Baltimore, MD",39.2908816,-76.610759
EcuavisaInforma,Ecuador,-1.3397668,-79.3666965
IAIM_VE,Venezuela,8.0018709,-66.1109318
revistavistazo,"Guayaquil, Ecuador",-2.1899066,-79.887726
BloodAid,India,22.3511148,78.6677428
RicSotoHN,Honduras,15.2572432,-86.0755145
exitoinabr,"São Paulo, Brasil",-23.5506507,-46.6333824
TheAAMIRking,India,22.3511148,78.6677428
Le_Figaro,France,46.603354,1.8883335
politico,"Washington, D C ",38.8949855,-77.0365708
JCBua,Washington DC,38.8949855,-77.0365708
ivocamic,Roma,41.8933203,12.4829321
tvlofficiel,"Paris, France",48.8566969,2.3514616
ndtv,India,22.3511148,78.6677428
LaloUrbanoM,Ciudad de México,19.4326296,-99.1331785
drrajivguptaias,"Gandhinagar, India",23.2232877,72.6492267
EsDerpa,España,39.3262345,-4.8380649
RealDrGina, ,NA,NA
GilbertDeray,"Paris, France",48.8566969,2.3514616
mirkonicolino,Vibo Valentia,38.6266556,16.098693458946357
Le___Doc,En Riposte   ou pas  ,NA,NA
Matt_VanDyke,Philadelphia,39.9527237,-75.1635262
theirturn,"New York, NY",40.7127281,-74.0060152
Agenzia_Ansa,"Via della Dataria,   - Roma",NA,NA
21WIRE,USA,39.7837304,-100.4458825
ConnyCurrently,Ontario ,50.000678,-86.000977
Angelux1111,Earth,34.2331373,-102.4107493
tropical_boy,𝗥𝗶𝗽𝗼𝘂𝗯𝗹𝗶𝗾𝘂𝗲 𝗱𝘂 𝗠𝗮𝗰𝗿𝗼𝗻𝗶𝘀𝘁𝗮𝗻,NA,NA
iceTyyc,"Calgary, Alberta",51.0534234,-114.0625892
Monolecte,France,46.603354,1.8883335
zoerobledo,"Chiapas, México",16.5000001,-92.5000001
Kirstybabe100,Essex,51.77046785,0.46466977412300386
PHE_uk,United Kingdom,54.7023545,-3.2765753
ALunaSilva,México,19.4326296,-99.1331785
Ferula18,Terra delle fate,NA,NA
OrlandoRPN,"Querétaro Arteaga, México",20.5954708,-100.3970593
DanJarvisMP,"Barnsley, Yorkshire ",53.5527719,-1.4827755
HR5231,"Muscat, Oman",23.5997857,58.5451305
AbbieKamin,"Houston, TX",29.7589382,-95.3676974
espin_antonioj,"Bullas, España",38.0497852,-1.6703391
kishanreddybjp,"Hyderabad, Telangana ",17.38878595,78.46106473453146
wickdchiq,  Problems Blvd,NA,NA
TheRealTBone,"Los Angeles, CA",34.0536909,-118.2427666
RomeroBettina,"Salta, Argentina",-25.1076701,-64.3494964
annidicera,Jungla ,10.5893616,-67.0209126
PVTC_Official,"Punjab, Pakistan",31,72
canarias7,Islas Canarias,21.9361192,-102.2874404
georgiecrozier,"Melbourne, Victoria",-37.8142176,144.9631608
KingstonHSC,"Kingston, Ontario, Canada",44.230687,-76.481323
FullMeasureNews,"Washington, DC",38.8949855,-77.0365708
VictorK43995989,Proud Prestonian and Lancs Lad,NA,NA
HKSFBayArea,San Francisco Bay Area,37.7884969,-122.3558473
causticbob,"bangor, me  usa",44.8011821,-68.7778138
republicamadrid,"Madrid, Comunidad de Madrid",40.4167047,-3.7035825
petervanham,"Geneva, Switzerland",46.2017559,6.1466014
GobiernoMorelos,Morelos,18.75,-99
MelissaTweets,"Houston, Texas",29.7589382,-95.3676974
colvieux,"Berlino, Germania",52.5170365,13.3888599
YourlocalIDdoc,"Iowa, USA",41.9216734,-93.3122705
HHepplewhite,United Kingdom,54.7023545,-3.2765753
admrl2,Paris,48.8566969,2.3514616
BremainInSpain,Spain,39.3262345,-4.8380649
ViolaineGuerin,"Paris, France",48.8566969,2.3514616
ProfMKay,India   Europe,11.9357984,79.807882
jcasap,"Phoenix, AZ",33.4484367,-112.0741417
ChiefNish,"Peel Region, Ontario, CA",43.73405755,-79.79904227671764
PabloOliveraDaS,Buenos Aires  Argentina,45.4838459,9.2147675
laureldavilacpa,"Tustin and Irvine, California",33.6986028,-117.8331705
PoliceSCSI,Paris,48.8566969,2.3514616
G_Caballero_M,"Vigo, España",42.2376602,-8.7247205
rweingarten,"Washington, DC",38.8949855,-77.0365708
WaqasJamilKha1,"لاہور, پاکستان",31.5656822,74.3141829
DalbidEU,Lancashire and Europe,54.0567264,-2.8372503233010233
nicorivera05,Guayaquil,-2.1899066,-79.887726
EcoMineriaVE,"Caracas, Venezuela",10.506098,-66.9146017
JuanBerjano,"Badajoz, Extremadura",38.8780585,-6.9702048
ConfusamChile,Chile,-31.7613365,-71.3187697
ARYNEWSOFFICIAL,"Karachi,Pakistan",25.1446897,67.1847767315734
MurciaPolicia,Murcia,37.9923795,-1.1305431
sincomplejos__,"Madrid, Comunidad de Madrid",40.4167047,-3.7035825
ITGuy1959,"St Louis, MO",38.6264178,-90.1998378
Documark,"The high road, for now  ",NA,NA
Barrio_Tricolor,Venezuela,8.0018709,-66.1109318
KrishnarajaAch3,France,46.603354,1.8883335
malagahoy_es,"Málaga  Andalucía, España ",36.7213028,-4.4216366
ElPitazoTV,Venezuela,8.0018709,-66.1109318
RoryHearne,Dublin,53.3497645,-6.2602732
ChiOnwurah,Newcastle,54.9738474,-1.6131572
NatangeloM,roma,41.8933203,12.4829321
Banxcartoons,London,51.5073219,-0.1276474
rhnkorg,"Nairobi, Kenya",-1.2832533,36.8172449
aalexlee22,n o ,NA,NA
WesElyMD,"Nashville, TN",36.1622296,-86.7743531
Hank4Texas,"Tyler, Texas",32.3512601,-95.3010624
bgmanness2,France,46.603354,1.8883335
redpenblackpen,Corner of Science and Humor,NA,NA
steve_hanke,Baltimore   Paris,39.3361278,-76.7404195
bernamadotcom,"Kuala Lumpur, Malaysia",3.1516964,101.6942371
prathod2008,WorldWide,53.45733965,-2.226958805052226
DMRegister,"Des Moines, Iowa, USA",41.5910641,-93.6037149
TomBalbino3,Ciudad Autónoma de Buenos Aire,14.4703275,-83.9333336
xescoreverter,"Washington, DC",38.8949855,-77.0365708
Cohesity,"San Jose, CA",37.3361905,-121.8905833
MinistryWCD,"New Delhi, Delhi",28.6138954,77.2090057
JapenSarawak,"Kuching, Sarawak",1.5574127,110.3439862
Sergi_Bernal,Gotic BCN,41.3833947,2.1769119
Isabel06238869, Cuba  ,NA,NA
MDEdgePsych,"Parsippany, NJ",40.8578772,-74.4259866
Brigida__Santos,Los Angeles,34.0536909,-118.2427666
RoryLancman,New York,40.7127281,-74.0060152
JoanofAmerica,America,51.44770365,5.966069282055592
G23Mld,"Roma, Lazio",41.8852398,12.42065499455952
JoinPKTeam,"Bihar, India",25.6440845,85.906508
dnicatala,"Terrassa, Catalunya",41.5629885,2.0102442
drscott_atlanta,"Atlanta, Georgia",33.7490987,-84.3901849
_NatashaDevon,London,51.5073219,-0.1276474
GobCDMX,Ciudad de México,19.4326296,-99.1331785
andyboyle91,"Edinburgh, Scotland",55.9533456,-3.1883749
ajayjagota,UK,54.7023545,-3.2765753
osanamoleriop,Cuba,23.0131338,-80.8328748
CORPOELECinfo,Venezuela,8.0018709,-66.1109318
LeilaKessi,Lyon,45.7578137,4.8320114
RafaHdezOlin,"Pachuca de Soto, Hidalgo",20.1165413,-98.7413535
LILIETHCONTRERA,VENEZUELA,8.0018709,-66.1109318
SidShirole,Pune,18.521428,73.8544541
Under_Covid,"Lovington, NM",32.9442913,-103.3484348
ScarletAvengers,At The Ballot Box  ,NA,NA
ShetSadanand,"Goa, India",15.3004543,74.0855134
ABPNews,India,22.3511148,78.6677428
chasbottom,Illinois,40.0796606,-89.4337288
WYP_BenDoughty,"Halifax, England",53.7229229,-1.8604874
tabishhk,"Srinagar, India",34.0747444,74.8204443
QSanit,Italia,42.6384261,12.674297
nick_raine,"Nottingham, England",52.9534193,-1.1496461
azzharmalik,Netajikehaveli,NA,NA
danmatt65,Impegnato con  ale corubolo  ,NA,NA
robertimossi,"London, England",51.5073219,-0.1276474
DiscoRubio,"Tarragona, España",41.1172364,1.2546057
GAES31GNB,Av Las Lagrimas de acarigua ,NA,NA
FalconGnbcz,"Falcón, Venezuela",11,-69.833333
AnthJB4,Bedfordshire ,52.064003400000004,-0.41111375560310925
USAmbDRC,Kinshasa,-4.3217055,15.3125974
YvesPDB,Paris,48.8566969,2.3514616
CDHKedition,Hong Kong ,22.2793278,114.1628131
MediaEhko,Paris,48.8566969,2.3514616
EricKlein_,"Paris, France",48.8566969,2.3514616
auraazarconMD,"Manila, Philippines",14.5907332,120.9809674
daniel_carrillo,San Nicolás de los Garza,25.73584235,-100.26649451652247
YaelBRAUNPIVET,"Yvelines, Ile-de-France",48.76203735,1.8871375621264361
Hunaid_Lakhani,"Karachi, Pakistan",25.1446897,67.1847767315734
TheCrusadery,"Emilia Romagna, Italia",44.525696,11.039437
chillibeanboy,United States,39.7837304,-100.4458825
UNT_Caracas,"Caracas, Venezuela",10.506098,-66.9146017
SalvaAlmenar,València,39.4697065,-0.3763353
christheeagle1,"Croydon, London",51.3713049,-0.101957
Autismo_Espana,Madrid,40.4167047,-3.7035825
laliguecancer,France,46.603354,1.8883335
timeshighered,Global,43.7283874,-79.34914879325001
actu_world,"Paris, France",48.8566969,2.3514616
lasillarota,"México, Distrito Federal",16.5904056,-93.027994
Coparmex,México,19.4326296,-99.1331785
davepperlmutter,"London, England",51.5073219,-0.1276474
robe_blanche,"Saint-Malo, Bretagne",48.6454528,-2.015418
BBCNewsnight,"London, UK",51.5073219,-0.1276474
SherriDawnA,western canada  ,45.9416314,-74.2284004
Granma_Digital,Cuba,23.0131338,-80.8328748
IFENetwork24,India,22.3511148,78.6677428
elnuevoherald,"Miami, Florida",25.7742658,-80.1936589
wildforcongress,"Lehigh Valley, PA",40.5887558,-75.564283
RuthDuston,"London, England",51.5073219,-0.1276474
MrDash109,Ontario Canada,50.000678,-86.000977
News12LI,"Long Island, NY",40.85172235,-73.09921882199973
cityoftoronto,Toronto ON Canada,43.6534817,-79.3839347
DemocracyStorm,TN,33.8439408,9.400138
Roman_Britain,Britannia,51.460913,-0.3050555
colmedchile,Chile,-31.7613365,-71.3187697
vicentefazioOK,"Buenos Aires, villa luzuriaga san justo",NA,NA
TechCloudERP,India,22.3511148,78.6677428
GirloftheN,Banana Republic of the UK,51.514212549999996,-0.09560469235019944
fitzfun2011,"London, England",51.5073219,-0.1276474
TheLastPersont2,"London, UK",51.5073219,-0.1276474
Liverpool_CFA,Liverpool,53.407154,-2.991665
MissandeiA,"La Habana,Cuba",23.135305,-82.3589631
AbbyChavaStein,"New York, NY",40.7127281,-74.0060152
revwendy3,"Washington, DC",38.8949855,-77.0365708
christicarras,"Los Angeles, CA",34.0536909,-118.2427666
JoePajak,   ,NA,NA
stead_christine,Ann Arbor,42.2681569,-83.7312291
PSuiteNetwork,NJ NYC Philly AC Central NJ,NA,NA
PeiSzeCheng4NY,"ÜT   ,- ",NA,NA
sociovirology,"Davis, CA",53.1103334,-105.6567239
Sheilam19534814,Proud Glasgow Girl Scotland,NA,NA
RaiNews,"Italy, Europe",45.022433750000005,7.671010228909679
AyudaIglesNeces,España,39.3262345,-4.8380649
JohnMoralesNBC6,Miami Florida USA,25.7742658,-80.1936589
FernRiddell,"London, England",51.5073219,-0.1276474
france3Bretagne,Rennes,48.1113387,-1.6800198
r4hcmena,"London, Beirut, Amman, Birzeit   Ankara",NA,NA
JustMeBeingMe4,"Manchester, England",53.4794892,-2.2451148
Adnkronos,Italia,42.6384261,12.674297
giornalettismo,"Roma, Lazio",41.8852398,12.42065499455952
JulianWTO_UN,"Geneva, Switzerland",46.2017559,6.1466014
APDHASevilla,"Sevilla, España",37.3886303,-5.9953403
cmdotcom,"milano, italia",45.4668,9.1905
Maha_MEDD,Mumbai,18.9387711,72.8353355
CMOPb,"Punjab, India",30.9293211,75.5004841
