id,value,lemmata
10007,0,Rabobank voorspellen flink stijging hypotheekrente
10027,0,D66 willen reserve provincie aanspreken voor groei
10037,1,UWV dit jaar veel baan
10059,1,proost op geslaagd beursgang bols
10099,0,helft werknemer gaan na 65ste met pensioen
10101,1,Europa groeien voorzichtig dankzij laag energieprijs
10103,0,ongerustheid op griekse financieel markt
10111,1,Dijsselbloem ECB hebben regel toepassen
10113,-1,export voedingsmiddel naar Rusland opdrogen
10119,1,rust keren weer op beurs
10159,0,Teeven houden vast aan korten op rechtsbijstand
10213,-1,chinese economie ver verzwakken
10219,1,V d zijn voorlopig redden
10223,0,bond zetten kort_geding tegen V d gewoon door
10235,-1,440 werknemer weg bij Blokker
10239,0,bond willen stevig sociaal plan blokker
10247,1,altijd groot vertrouwen in oplossing V d hebben
10253,0,olieprijs gaan weer omhoog
10269,0,Overleg_Blokker leveren nog niets op
10273,0,Dijsselbloem willen met Griekenland naar oplossing zoeken
10279,0,koning Felipe leveren deel salaris in wegens crisis
10281,0,steeds veel mens met twee baan
10289,1,veel export biologisch product
10293,0,minder winst bij ING_Bank wel weer dividend
10329,0,Rabobank verwachten dat huizenprijs ver stijgen
10335,0,laag inflatie in 27 jaar
10355,0,varoufakis verstandig compromis bereiken
10359,1,"economie groeien 0,5 procent in vier kwartaal"
10365,1,Kamp signaal economie voorzichtig op groen
10367,-1,Dijsselbloem pessimistisch over snel stappen Grieken
10381,1,klein cao beschermen eeuwenoud vakmanschap
10425,1,japanse economie krabbelen op uit recessie
10437,1,45 miljoen voor banen in Groningen
10509,0,bond akkoord met ontslaan blokker
10513,0,Grieken moeten vandaag over_de_brug komen
10523,0,Grieken doen concessie aan Eurogroep
10541,1,ABN_Amro verdubbelen winst
10549,0,V d verlagen loon nog niet in februari
10561,0,SER werknemer moeten weer ww-premie betalen
10565,0,akkoord over verlenging grieks steunprogramma
10571,-1,Oxford dreigen onbetaalbaar te worden
10585,0,Grieken van kaal kip kunnen je niet plukken
10595,1,Europa beloven hulp aan varkensboer
10605,0,V d mogen loon vakbondslid niet verlagen
10607,-1,V d vecht al week voor voortbestaan
